architecture,run,decision_type,kendall_tau,spearman_rho,top1_accuracy,top2_accuracy,overall_mae,overall_rmse,overall_rmse_mae_ratio,energy_cost_mae,environmental_mae,comfort_mae,practicality_mae,energy_cost_rmse,environmental_rmse,comfort_rmse,practicality_rmse,n_scenarios,n_failed,n_total,model
LLM-Parameterized_Reference_Scoring,3,Overall,0.894,0.9051,0.9026,0.9744,0.0486,0.0954,1.963,0.0701,0.0834,0.0186,0.0223,0.1184,0.1279,0.0493,0.0603,195,0,195,deepseek
LLM-Parameterized_Reference_Scoring,3,HVAC,0.9048,0.9143,0.9,0.9857,0.043,0.0901,2.0953,0.072,0.067,0.0,0.0328,0.1325,0.1147,0.0,0.0416,70,0,0,deepseek
LLM-Parameterized_Reference_Scoring,3,Appliance,0.9795,0.9846,0.9846,1.0,0.0423,0.0883,2.0875,0.0622,0.1072,0.0,0.0,0.0979,0.1469,0.0,0.0,65,0,0,deepseek
LLM-Parameterized_Reference_Scoring,3,Shower,0.7889,0.8083,0.8167,0.9333,0.0621,0.1082,1.7424,0.0765,0.0768,0.0606,0.0343,0.1212,0.1202,0.0889,0.0989,60,0,0,deepseek
LLM-Parameterized_Reference_Scoring,4,Overall,0.9043,0.9179,0.9077,0.9795,0.0452,0.0854,1.8894,0.0638,0.0778,0.0192,0.0201,0.1024,0.1146,0.0507,0.0544,195,0,195,deepseek
LLM-Parameterized_Reference_Scoring,4,HVAC,0.9333,0.9429,0.9286,0.9857,0.0384,0.071,1.849,0.0615,0.0597,0.0,0.0324,0.1019,0.0899,0.0,0.0415,70,0,0,deepseek
LLM-Parameterized_Reference_Scoring,4,Appliance,0.9795,0.9846,0.9846,1.0,0.037,0.077,2.0811,0.0523,0.0956,0.0,0.0,0.081,0.1309,0.0,0.0,65,0,0,deepseek
LLM-Parameterized_Reference_Scoring,4,Shower,0.7889,0.8167,0.8,0.95,0.0622,0.1067,1.7154,0.0791,0.0798,0.0624,0.0274,0.122,0.1212,0.0914,0.0872,60,0,0,deepseek
LLM-Parameterized_Reference_Scoring,5,Overall,0.894,0.9077,0.9026,0.9744,0.0517,0.1075,2.0793,0.0759,0.0887,0.0186,0.0236,0.1377,0.1448,0.049,0.0628,195,0,195,deepseek
LLM-Parameterized_Reference_Scoring,5,HVAC,0.9238,0.9357,0.9286,0.9857,0.0531,0.1238,2.3315,0.0918,0.0877,0.0,0.0329,0.1792,0.166,0.0,0.0411,70,0,0,deepseek
LLM-Parameterized_Reference_Scoring,5,Appliance,0.9795,0.9846,0.9846,1.0,0.0382,0.0837,2.1911,0.0553,0.0975,0.0,0.0,0.0921,0.1398,0.0,0.0,65,0,0,deepseek
LLM-Parameterized_Reference_Scoring,5,Shower,0.7667,0.7917,0.7833,0.9333,0.0648,0.11,1.6975,0.0797,0.0803,0.0605,0.0384,0.1223,0.1217,0.0884,0.1041,60,0,0,deepseek
Direct_LLM_Scoring,1,Overall,0.1897,0.2,0.3846,0.7026,0.2171,0.2929,1.3491,0.2433,0.246,0.1682,0.2108,0.3298,0.3348,0.2298,0.2635,195,0,195,gemini
Direct_LLM_Scoring,1,HVAC,-0.019,0.0,0.2714,0.6143,0.2388,0.305,1.2772,0.2868,0.2753,0.2047,0.1884,0.3657,0.3502,0.2479,0.2327,70,0,0,gemini
Direct_LLM_Scoring,1,Appliance,-0.0154,-0.0615,0.2769,0.5692,0.2677,0.3544,1.3239,0.3272,0.3654,0.1584,0.2197,0.4071,0.4388,0.2444,0.2908,65,0,0,gemini
Direct_LLM_Scoring,1,Shower,0.6556,0.7167,0.6333,0.95,0.1369,0.1848,1.3499,0.1018,0.0823,0.1363,0.2273,0.1335,0.1122,0.1876,0.2664,60,0,0,gemini
Direct_LLM_Scoring,2,Overall,0.1624,0.1513,0.359,0.6718,0.2193,0.2966,1.3525,0.2486,0.2484,0.1702,0.2101,0.336,0.3378,0.2335,0.265,195,0,195,gemini
Direct_LLM_Scoring,2,HVAC,-0.0476,-0.0714,0.2571,0.5714,0.2417,0.3081,1.2747,0.2911,0.2783,0.2019,0.1954,0.3701,0.3533,0.2471,0.2387,70,0,0,gemini
Direct_LLM_Scoring,2,Appliance,-0.0256,-0.0769,0.2462,0.5692,0.2711,0.361,1.3316,0.3355,0.3681,0.1663,0.2148,0.4167,0.4425,0.2545,0.2948,65,0,0,gemini
Direct_LLM_Scoring,2,Shower,0.6111,0.6583,0.6,0.9,0.1371,0.1841,1.3428,0.1047,0.0839,0.1376,0.2223,0.1377,0.1144,0.1893,0.2601,60,0,0,gemini
