model,arch,run,decision_type,n,mean_regret,zero_regret_share,top1,n_miss,mean_regret_given_miss,random_pick_regret
gptoss,A_D,5,Appliance,65,0.11333076923076926,0.2,0.2,52,0.14166346153846157,0.0898051282051282
gptoss,A_D,5,Shower,60,0.05313333333333333,0.35,0.35,39,0.08174358974358974,0.08522499999999998
gptoss,A_E,1,Overall,195,0.045166666666666674,0.441025641025641,0.441025641025641,109,0.080802752293578,0.06951794871794871
gptoss,A_E,1,HVAC,70,0.027292857142857153,0.4142857142857143,0.4142857142857143,41,0.04659756097560978,0.037216666666666676
gptoss,A_E,1,Appliance,65,0.08336923076923078,0.3076923076923077,0.3076923076923077,45,0.12042222222222224,0.0898051282051282
gptoss,A_E,1,Shower,60,0.024633333333333337,0.6166666666666667,0.6166666666666667,23,0.06426086956521739,0.08522499999999998
gptoss,A_E,2,Overall,195,0.0404948717948718,0.48205128205128206,0.48205128205128206,101,0.0781831683168317,0.06951794871794871
gptoss,A_E,2,HVAC,70,0.02345000000000002,0.45714285714285713,0.45714285714285713,38,0.04319736842105266,0.037216666666666676
gptoss,A_E,2,Appliance,65,0.08298461538461539,0.3076923076923077,0.3076923076923077,45,0.11986666666666669,0.0898051282051282
gptoss,A_E,2,Shower,60,0.014349999999999998,0.7,0.7,18,0.047833333333333325,0.08522499999999998
gptoss,A_E,3,Overall,195,0.04253589743589745,0.49230769230769234,0.49230769230769234,99,0.08378282828282829,0.06951794871794871
gptoss,A_E,3,HVAC,70,0.018257142857142868,0.5142857142857142,0.5142857142857142,34,0.037588235294117665,0.037216666666666676
gptoss,A_E,3,Appliance,65,0.0885846153846154,0.3076923076923077,0.3076923076923077,45,0.1279555555555556,0.0898051282051282
gptoss,A_E,3,Shower,60,0.020974999999999997,0.6666666666666666,0.6666666666666666,20,0.06292499999999998,0.08522499999999998
gptoss,A_E,4,Overall,195,0.04422820512820514,0.4666666666666667,0.4666666666666667,104,0.08292788461538463,0.06951794871794871
gptoss,A_E,4,HVAC,70,0.020942857142857166,0.4857142857142857,0.4857142857142857,36,0.04072222222222225,0.037216666666666676
gptoss,A_E,4,Appliance,65,0.09430000000000002,0.26153846153846155,0.26153846153846155,48,0.12769791666666666,0.0898051282051282
gptoss,A_E,4,Shower,60,0.017149999999999995,0.6666666666666666,0.6666666666666666,20,0.05144999999999998,0.08522499999999998
gptoss,A_E,5,Overall,195,0.04128461538461539,0.48717948717948717,0.48717948717948717,100,0.08050500000000001,0.06951794871794871
gptoss,A_E,5,HVAC,70,0.023400000000000008,0.4714285714285714,0.4714285714285714,37,0.04427027027027029,0.037216666666666676
gptoss,A_E,5,Appliance,65,0.08312307692307692,0.3384615384615385,0.3384615384615385,43,0.12565116279069768,0.0898051282051282
gptoss,A_E,5,Shower,60,0.016824999999999996,0.6666666666666666,0.6666666666666666,20,0.05047499999999999,0.08522499999999998
gptoss,A_H,1,Overall,170,0.0015588235294117648,0.9294117647058824,0.9294117647058824,12,0.022083333333333333,0.07524117647058824
gptoss,A_H,1,HVAC,45,0.00013333333333333345,0.9777777777777777,0.9777777777777777,1,0.006000000000000005,0.040892592592592605
gptoss,A_H,1,Appliance,65,0.0,1.0,1.0,0,,0.0898051282051282
gptoss,A_H,1,Shower,60,0.004316666666666667,0.8166666666666667,0.8166666666666667,11,0.023545454545454546,0.08522499999999998
gptoss,A_H,2,Overall,169,0.0011005917159763311,0.9171597633136095,0.9171597633136095,14,0.013285714285714281,0.07406311637080869
gptoss,A_H,2,HVAC,44,0.0007954545454545436,0.9090909090909091,0.9090909090909091,4,0.00874999999999998,0.035587121212121216
gptoss,A_H,2,Appliance,65,0.00020769230769230703,0.9846153846153847,0.9846153846153847,1,0.013499999999999956,0.0898051282051282
gptoss,A_H,2,Shower,60,0.002291666666666668,0.85,0.85,9,0.015277777777777786,0.08522499999999998
gptoss,A_H,3,Overall,174,0.001807471264367815,0.9137931034482759,0.9137931034482759,15,0.02096666666666665,0.07363888888888889
gptoss,A_H,3,HVAC,49,0.00026530612244897754,0.9591836734693877,0.9591836734693877,2,0.00649999999999995,0.03800680272108845
