model,arch,run,decision_type,tau,tau_csv,top1,top1_csv,mae,mae_csv,n,n_csv,max_abs_diff
gptoss,A_D,4,Overall,0.0632,0.0632,0.359,0.359,0.2429,0.2429,195,195,0.0
gptoss,A_D,4,HVAC,0.181,0.181,0.4571,0.4571,0.2106,0.2106,70,70,0.0
gptoss,A_D,4,Appliance,-0.1077,-0.1077,0.2769,0.2769,0.2869,0.2869,65,65,0.0
gptoss,A_D,4,Shower,0.1111,0.1111,0.3333,0.3333,0.233,0.233,60,60,0.0
gptoss,A_D,5,Overall,0.0017,0.0017,0.3179,0.3179,0.2424,0.2424,195,195,0.0
gptoss,A_D,5,HVAC,0.1619,0.1619,0.4,0.4,0.2112,0.2112,70,70,0.0
gptoss,A_D,5,Appliance,-0.241,-0.241,0.2,0.2,0.2876,0.2876,65,65,0.0
gptoss,A_D,5,Shower,0.0778,0.0778,0.35,0.35,0.23,0.23,60,60,0.0
gptoss,A_E,1,Overall,0.2581,0.2581,0.441,0.441,0.171,0.171,195,195,0.0
gptoss,A_E,1,HVAC,0.2381,0.2381,0.4143,0.4143,0.1681,0.1681,70,70,0.0
gptoss,A_E,1,Appliance,-0.0359,-0.0359,0.3077,0.3077,0.2158,0.2158,65,65,0.0
gptoss,A_E,1,Shower,0.6,0.6,0.6167,0.6167,0.126,0.126,60,60,0.0
gptoss,A_E,2,Overall,0.2786,0.2786,0.4821,0.4821,0.1693,0.1693,195,195,0.0
gptoss,A_E,2,HVAC,0.2,0.2,0.4571,0.4571,0.1717,0.1717,70,70,0.0
gptoss,A_E,2,Appliance,-0.0051,-0.0051,0.3077,0.3077,0.2104,0.2104,65,65,0.0
gptoss,A_E,2,Shower,0.6778,0.6778,0.7,0.7,0.122,0.122,60,60,0.0
gptoss,A_E,3,Overall,0.2581,0.2581,0.4923,0.4923,0.1665,0.1665,195,195,0.0
gptoss,A_E,3,HVAC,0.2952,0.2952,0.5143,0.5143,0.1569,0.1569,70,70,0.0
gptoss,A_E,3,Appliance,-0.1077,-0.1077,0.3077,0.3077,0.2152,0.2152,65,65,0.0
gptoss,A_E,3,Shower,0.6111,0.6111,0.6667,0.6667,0.1249,0.1249,60,60,0.0
gptoss,A_E,4,Overall,0.2308,0.2308,0.4667,0.4667,0.1712,0.1712,195,195,0.0
gptoss,A_E,4,HVAC,0.2571,0.2571,0.4857,0.4857,0.167,0.167,70,70,0.0
gptoss,A_E,4,Appliance,-0.1385,-0.1385,0.2615,0.2615,0.2183,0.2183,65,65,0.0
gptoss,A_E,4,Shower,0.6,0.6,0.6667,0.6667,0.1251,0.1251,60,60,0.0
gptoss,A_E,5,Overall,0.3368,0.3368,0.4872,0.4872,0.1669,0.1669,195,195,0.0
gptoss,A_E,5,HVAC,0.3333,0.3333,0.4714,0.4714,0.1687,0.1687,70,70,0.0
gptoss,A_E,5,Appliance,0.0462,0.0462,0.3385,0.3385,0.2084,0.2084,65,65,0.0
gptoss,A_E,5,Shower,0.6556,0.6556,0.6667,0.6667,0.1198,0.1198,60,60,0.0
gptoss,A_H,1,Overall,0.9059,0.9059,0.9294,0.9294,0.0509,0.0509,170,170,0.0
gptoss,A_H,1,HVAC,0.9704,0.9704,0.9778,0.9778,0.0483,0.0483,45,45,0.0
gptoss,A_H,1,Appliance,0.9795,0.9795,1.0,1.0,0.0493,0.0493,65,65,0.0
gptoss,A_H,1,Shower,0.7778,0.7778,0.8167,0.8167,0.0545,0.0545,60,60,0.0
gptoss,A_H,2,Overall,0.8974,0.8974,0.9172,0.9172,0.0514,0.0514,169,169,0.0
gptoss,A_H,2,HVAC,0.9242,0.9242,0.9091,0.9091,0.0501,0.0501,44,44,0.0
gptoss,A_H,2,Appliance,0.9692,0.9692,0.9846,0.9846,0.0546,0.0546,65,65,0.0
gptoss,A_H,2,Shower,0.8,0.8,0.85,0.85,0.049,0.049,60,60,0.0
gptoss,A_H,3,Overall,0.8966,0.8966,0.9138,0.9138,0.0545,0.0545,174,174,0.0
gptoss,A_H,3,HVAC,0.9456,0.9456,0.9592,0.9592,0.0556,0.0556,49,49,0.0
gptoss,A_H,3,Appliance,0.959,0.959,0.9846,0.9846,0.0547,0.0547,65,65,0.0
gptoss,A_H,3,Shower,0.7889,0.7889,0.8,0.8,0.0532,0.0532,60,60,0.0
gptoss,A_H,4,Overall,0.901,0.901,0.9143,0.9143,0.051,0.051,175,175,0.0
gptoss,A_H,4,HVAC,0.9333,0.9333,0.92,0.92,0.0481,0.0481,50,50,0.0
gptoss,A_H,4,Appliance,0.959,0.959,0.9846,0.9846,0.0507,0.0507,65,65,0.0
gptoss,A_H,4,Shower,0.8111,0.8111,0.8333,0.8333,0.0537,0.0537,60,60,0.0
gptoss,A_H,5,Overall,0.8863,0.8863,0.9118,0.9118,0.0516,0.0516,170,170,0.0
gptoss,A_H,5,HVAC,0.9407,0.9407,0.9333,0.9333,0.0536,0.0536,45,45,0.0
gptoss,A_H,5,Appliance,0.9692,0.9692,0.9846,0.9846,0.0482,0.0482,65,65,0.0
gptoss,A_H,5,Shower,0.7556,0.7556,0.8167,0.8167,0.0537,0.0537,60,60,0.0
qwen,A_D,1,Overall,0.012,0.012,0.2615,0.2615,0.2375,0.2375,195,195,0.0
qwen,A_D,1,HVAC,-0.0,-0.0,0.3143,0.3143,0.219,0.219,70,70,0.0
qwen,A_D,1,Appliance,0.0051,0.0051,0.2154,0.2154,0.286,0.286,65,65,0.0
qwen,A_D,1,Shower,0.0333,0.0333,0.25,0.25,0.2064,0.2064,60,60,0.0
qwen,A_D,2,Overall,0.0256,0.0256,0.3282,0.3282,0.2352,0.2352,195,195,0.0
qwen,A_D,2,HVAC,0.0476,0.0476,0.4,0.4,0.2145,0.2145,70,70,0.0
qwen,A_D,2,Appliance,-0.0769,-0.0769,0.2,0.2,0.2843,0.2843,65,65,0.0
qwen,A_D,2,Shower,0.1111,0.1111,0.3833,0.3833,0.2062,0.2062,60,60,0.0
qwen,A_D,3,Overall,0.0275,0.0275,0.3093,0.3093,0.2342,0.2342,194,194,0.0
qwen,A_D,3,HVAC,-0.0476,-0.0476,0.3,0.3,0.2138,0.2138,70,70,0.0
qwen,A_D,3,Appliance,-0.0313,-0.0313,0.2344,0.2344,0.2798,0.2798,64,64,0.0
qwen,A_D,3,Shower,0.1778,0.1778,0.4,0.4,0.2093,0.2093,60,60,0.0
qwen,A_D,4,Overall,-0.0564,-0.0564,0.2769,0.2769,0.2348,0.2348,195,195,0.0
qwen,A_D,4,HVAC,-0.0571,-0.0571,0.3286,0.3286,0.2189,0.2189,70,70,0.0
qwen,A_D,4,Appliance,-0.0462,-0.0462,0.2308,0.2308,0.2818,0.2818,65,65,0.0
qwen,A_D,4,Shower,-0.0667,-0.0667,0.2667,0.2667,0.2025,0.2025,60,60,0.0
qwen,A_D,5,Overall,0.0412,0.0412,0.3247,0.3247,0.2326,0.2326,194,194,0.0
qwen,A_D,5,HVAC,0.0435,0.0435,0.2899,0.2899,0.2154,0.2154,69,69,0.0
qwen,A_D,5,Appliance,-0.0051,-0.0051,0.2769,0.2769,0.2823,0.2823,65,65,0.0
qwen,A_D,5,Shower,0.0889,0.0889,0.4167,0.4167,0.1986,0.1986,60,60,0.0
qwen,A_E,1,Overall,0.2205,0.2205,0.4615,0.4615,0.1953,0.1953,195,195,0.0
qwen,A_E,1,HVAC,0.181,0.181,0.4429,0.4429,0.1765,0.1765,70,70,0.0
qwen,A_E,1,Appliance,0.2,0.2,0.4769,0.4769,0.2239,0.2239,65,65,0.0
qwen,A_E,1,Shower,0.2889,0.2889,0.4667,0.4667,0.1862,0.1862,60,60,0.0
qwen,A_E,2,Overall,0.2137,0.2137,0.4513,0.4513,0.1974,0.1974,195,195,0.0
qwen,A_E,2,HVAC,0.1429,0.1429,0.3571,0.3571,0.1764,0.1764,70,70,0.0
qwen,A_E,2,Appliance,0.3128,0.3128,0.5692,0.5692,0.228,0.228,65,65,0.0
qwen,A_E,2,Shower,0.1889,0.1889,0.4333,0.4333,0.1888,0.1888,60,60,0.0
qwen,A_E,3,Overall,0.2205,0.2205,0.4821,0.4821,0.1893,0.1893,195,195,0.0
qwen,A_E,3,HVAC,0.1714,0.1714,0.4714,0.4714,0.1668,0.1668,70,70,0.0
qwen,A_E,3,Appliance,0.2205,0.2205,0.5077,0.5077,0.22,0.22,65,65,0.0
qwen,A_E,3,Shower,0.2778,0.2778,0.4667,0.4667,0.1821,0.1821,60,60,0.0
qwen,A_E,4,Overall,0.241,0.241,0.4821,0.4821,0.1948,0.1948,195,195,0.0
qwen,A_E,4,HVAC,0.1524,0.1524,0.3857,0.3857,0.1793,0.1793,70,70,0.0
qwen,A_E,4,Appliance,0.2615,0.2615,0.5231,0.5231,0.2261,0.2261,65,65,0.0
qwen,A_E,4,Shower,0.3222,0.3222,0.55,0.55,0.179,0.179,60,60,0.0
qwen,A_E,5,Overall,0.1453,0.1453,0.4513,0.4513,0.1909,0.1909,195,195,0.0
qwen,A_E,5,HVAC,0.1524,0.1524,0.4,0.4,0.1691,0.1691,70,70,0.0
qwen,A_E,5,Appliance,0.159,0.159,0.5231,0.5231,0.223,0.223,65,65,0.0
qwen,A_E,5,Shower,0.1222,0.1222,0.4333,0.4333,0.1815,0.1815,60,60,0.0
qwen,A_H,1,Overall,0.8969,0.8969,0.9175,0.9175,0.0729,0.0729,194,194,0.0
qwen,A_H,1,HVAC,0.9034,0.9034,0.913,0.913,0.0568,0.0568,69,69,0.0
qwen,A_H,1,Appliance,0.9179,0.9179,0.9385,0.9385,0.1217,0.1217,65,65,0.0
qwen,A_H,1,Shower,0.8667,0.8667,0.9,0.9,0.0386,0.0386,60,60,0.0
qwen,A_H,2,Overall,0.8803,0.8803,0.8923,0.8923,0.0692,0.0692,195,195,0.0
qwen,A_H,2,HVAC,0.8571,0.8571,0.8429,0.8429,0.0509,0.0509,70,70,0.0
