model,comparison,scope,metric,mean_ah,mean_base,mean_diff,n_pairs,n_nonzero_diff,n_ah_better,n_base_better,p_value,cliff_delta_ah_minus_base,cliff_interp,statistic,p_holm,family,significant_holm
gemini,AH vs FD+time,Overall,mae,0.04768290598290598,0.06249572649572649,-0.01481282051282051,195,161,107,54,0.00019301726629807696,-0.17633136094674556,small,4936.0,0.0023162071955769234,overall12,True
gemini,AH vs FD+time,HVAC,kendall_tau,0.9771428571428572,0.9333333333333332,0.04380952380952381,70,8,6,2,0.03235780213588521,0.06142857142857143,negligible,5.0,0.9707340640765563,bytype36,False
gemini,AH vs FD+time,HVAC,top1,0.9657142857142856,0.9571428571428572,0.008571428571428572,70,4,2,2,0.7054569861112734,0.0006122448979591836,negligible,4.0,1.0,bytype36,False
gemini,AH vs FD+time,HVAC,mae,0.02954285714285715,0.07071428571428572,-0.041171428571428574,70,68,56,12,1.657292587947411e-08,-0.5165306122448979,large,278.0,5.966253316610679e-07,bytype36,True
gemini,AH vs FD+time,Appliance,kendall_tau,0.958974358974359,0.9589743589743589,6.832141690000964e-18,65,8,4,4,0.25066607181324785,0.00378698224852071,negligible,10.0,1.0,bytype36,False
gemini,AH vs FD+time,Appliance,top1,0.9692307692307692,1.0,-0.03076923076923077,65,2,0,2,0.15729920705028502,-0.03076923076923077,negligible,0.0,1.0,bytype36,False
gemini,AH vs FD+time,Appliance,mae,0.06653333333333333,0.0566025641025641,0.009930769230769234,65,65,33,32,0.40657198412632045,0.08591715976331361,negligible,945.5,1.0,bytype36,False
gemini,AH vs FD+time,Shower,kendall_tau,0.8222222222222222,0.8000000000000002,0.02222222222222224,60,17,9,8,0.3736968888497776,0.02277777777777778,negligible,73.0,1.0,bytype36,False
gemini,AH vs FD+time,Shower,top1,0.85,0.85,0.0,60,16,8,8,1.0,0.0,negligible,68.0,1.0,bytype36,False
gemini,AH vs FD+time,Shower,mae,0.048425,0.05929166666666665,-0.01086666666666667,60,28,18,10,0.04032039612812102,-0.12694444444444444,negligible,202.5,1.0,bytype36,False
gptoss,AH vs LU,Overall,kendall_tau,0.9038373424971362,0.9243986254295533,-0.020561282932416942,194,38,14,24,0.24722002360335182,-0.07686789244340525,negligible,324.0,0.9888800944134073,overall12,False
gptoss,AH vs LU,Overall,top1,0.9193298969072166,0.9432989690721649,-0.02396907216494845,194,25,9,16,0.18975986611308027,-0.07575193963226698,negligible,114.0,1.0,overall12,False
gptoss,AH vs LU,Overall,mae,0.05243091351660939,0.03984965635738832,0.012581257159221077,194,178,67,111,0.00024250132958017885,0.21917844616856202,small,5784.5,0.0026675146253819673,overall12,True
gptoss,AH vs LU,HVAC,kendall_tau,0.9460547504025764,0.9710144927536232,-0.024959742351046692,69,7,2,5,0.39849225895384943,-0.05356017643352237,negligible,12.0,1.0,bytype36,False
gptoss,AH vs LU,HVAC,top1,0.9384057971014492,0.9710144927536232,-0.03260869565217391,69,4,1,3,0.14077277337135014,-0.042638101239235456,negligible,1.0,1.0,bytype36,False
gptoss,AH vs LU,HVAC,mae,0.05297483896940419,0.029094202898550723,0.023880636070853462,69,69,29,40,0.0328028049883183,0.2577189666036547,small,850.5,0.8856757346845942,bytype36,False
gptoss,AH vs LU,Appliance,kendall_tau,0.9671794871794873,0.9589743589743589,0.008205128205128212,65,9,4,5,0.36959998429278107,-0.010650887573964497,negligible,15.0,1.0,bytype36,False
gptoss,AH vs LU,Appliance,top1,0.9876923076923078,1.0,-0.012307692307692308,65,1,0,1,0.31731050786291415,-0.015384615384615385,negligible,0.0,1.0,bytype36,False
gptoss,AH vs LU,Appliance,mae,0.0515,0.0566025641025641,-0.0051025641025641034,65,64,25,39,0.7280270291335116,0.10792899408284023,negligible,988.0,1.0,bytype36,False
