baseline,scenario_id,decision_type,failed,kendall_tau,top1,mae
DM,24,HVAC,False,1.0,1.0,0.0375
DM,25,HVAC,False,1.0,1.0,0.027499999999999997
DM,26,HVAC,False,1.0,1.0,0.12583333333333335
DM,27,HVAC,False,1.0,1.0,0.075
DM,28,HVAC,False,1.0,1.0,0.17999999999999997
DM,29,HVAC,False,1.0,1.0,0.1525
DM,30,HVAC,False,1.0,1.0,0.023333333333333317
DM,31,HVAC,False,1.0,1.0,0.09750000000000002
DM,32,HVAC,False,1.0,1.0,0.15500000000000003
DM,33,HVAC,False,1.0,1.0,0.035833333333333314
DM,34,HVAC,False,1.0,1.0,0.04166666666666664
DM,35,HVAC,False,1.0,1.0,0.16666666666666666
DM,36,HVAC,False,1.0,1.0,0.015000000000000005
DM,37,HVAC,False,1.0,1.0,0.043333333333333356
DM,38,HVAC,False,0.33333333333333337,1.0,0.009166666666666675
DM,39,HVAC,False,0.33333333333333337,1.0,0.025833333333333337
DM,40,HVAC,False,1.0,1.0,0.0
DM,41,HVAC,False,1.0,1.0,0.005833333333333334
DM,42,HVAC,False,1.0,1.0,0.17416666666666666
DM,43,HVAC,False,1.0,1.0,0.032499999999999994
DM,44,HVAC,False,0.33333333333333337,0.0,0.055000000000000014
DM,45,HVAC,False,1.0,1.0,0.17750000000000002
DM,46,HVAC,False,0.33333333333333337,1.0,0.13499999999999998
DM,47,HVAC,False,1.0,1.0,0.059166666666666666
DM,48,HVAC,False,1.0,1.0,0.18083333333333332
DM,49,HVAC,False,1.0,1.0,0.1433333333333333
DM,50,HVAC,False,1.0,1.0,0.047499999999999966
DM,51,HVAC,False,0.33333333333333337,0.0,0.17666666666666664
DM,52,HVAC,False,1.0,1.0,0.015000000000000013
DM,53,HVAC,False,1.0,1.0,0.029166666666666646
DM,54,HVAC,False,1.0,1.0,0.007500000000000007
DM,55,HVAC,False,1.0,1.0,0.04833333333333334
DM,56,HVAC,False,0.33333333333333337,0.0,0.03250000000000002
DM,57,HVAC,False,1.0,1.0,0.11083333333333334
DM,58,HVAC,False,1.0,1.0,0.08249999999999998
DM,59,HVAC,False,1.0,1.0,0.026666666666666682
DM,60,HVAC,False,1.0,1.0,0.014999999999999986
DM,61,HVAC,False,1.0,1.0,0.04666666666666667
DM,62,HVAC,False,1.0,1.0,0.03666666666666666
