model,arch,run,decision_type,n,mean_regret,mean_norm_regret,zero_regret_share,top1,n_miss,mean_regret_given_miss,zero_regret_share_given_miss,max_regret,random_pick_regret
gptoss,A_D,3,Overall,195,0.05934871794871796,0.434768415531186,0.358974358974359,0.358974358974359,125,0.09258400000000003,0.0,0.6319999999999999,0.06951794871794871
gptoss,A_D,3,HVAC,70,0.027814285714285732,0.39193363886072474,0.37142857142857144,0.37142857142857144,44,0.04425000000000002,0.0,0.16549999999999987,0.037216666666666676
gptoss,A_D,3,Appliance,65,0.09358461538461539,0.5445078117482987,0.3384615384615385,0.3384615384615385,43,0.1414651162790698,0.0,0.2815,0.0898051282051282
gptoss,A_D,3,Shower,60,0.059050000000000005,0.36585797574485196,0.36666666666666664,0.36666666666666664,38,0.09323684210526316,0.0,0.6319999999999999,0.08522499999999998
gptoss,A_D,4,Overall,195,0.05844358974358974,0.4441889822479922,0.358974358974359,0.358974358974359,125,0.09117200000000002,0.0,0.2815,0.06951794871794871
gptoss,A_D,4,HVAC,70,0.026000000000000013,0.3637448553016529,0.45714285714285713,0.45714285714285713,38,0.04789473684210528,0.0,0.19,0.037216666666666676
gptoss,A_D,4,Appliance,65,0.09592307692307693,0.564420287334968,0.27692307692307694,0.27692307692307694,47,0.1326595744680851,0.0,0.2815,0.0898051282051282
gptoss,A_D,4,Shower,60,0.05569166666666666,0.40778988317449766,0.3333333333333333,0.3333333333333333,40,0.08353749999999999,0.0,0.27649999999999997,0.08522499999999998
gptoss,A_D,5,Overall,195,0.06566666666666668,0.4926397645346565,0.31794871794871793,0.31794871794871793,133,0.09627819548872181,0.0,0.4275,0.06951794871794871
gptoss,A_D,5,HVAC,70,0.03215000000000001,0.41591374055679,0.4,0.4,42,0.05358333333333335,0.0,0.14950000000000008,0.037216666666666676
gptoss,A_D,5,Appliance,65,0.11333076923076926,0.6573857042133721,0.2,0.2,52,0.14166346153846157,0.0,0.4275,0.0898051282051282
gptoss,A_D,5,Shower,60,0.05313333333333333,0.4036786911902254,0.35,0.35,39,0.08174358974358974,0.0,0.4179999999999999,0.08522499999999998
gptoss,A_E,1,Overall,195,0.045166666666666674,0.366123690285753,0.441025641025641,0.441025641025641,109,0.080802752293578,0.0,0.26949999999999996,0.06951794871794871
gptoss,A_E,1,HVAC,70,0.027292857142857153,0.34965241099858374,0.4142857142857143,0.4142857142857143,41,0.04659756097560978,0.0,0.16199999999999992,0.037216666666666676
gptoss,A_E,1,Appliance,65,0.08336923076923078,0.5502672783260041,0.3076923076923077,0.3076923076923077,45,0.12042222222222224,0.0,0.25449999999999984,0.0898051282051282
gptoss,A_E,1,Shower,60,0.024633333333333337,0.185851295743845,0.6166666666666667,0.6166666666666667,23,0.06426086956521739,0.0,0.26949999999999996,0.08522499999999998
gptoss,A_E,2,Overall,195,0.0404948717948718,0.33197949932115994,0.48205128205128206,0.48205128205128206,101,0.0781831683168317,0.0,0.24700000000000005,0.06951794871794871
gptoss,A_E,2,HVAC,70,0.02345000000000002,0.31793299487893084,0.45714285714285713,0.45714285714285713,38,0.04319736842105266,0.0,0.20899999999999996,0.037216666666666676
gptoss,A_E,2,Appliance,65,0.08298461538461539,0.5214617545549741,0.3076923076923077,0.3076923076923077,45,0.11986666666666669,0.0,0.24700000000000005,0.0898051282051282
gptoss,A_E,2,Shower,60,0.014349999999999998,0.14309464466712843,0.7,0.7,18,0.047833333333333325,0.0,0.1419999999999999,0.08522499999999998
gptoss,A_E,3,Overall,195,0.04253589743589745,0.3433716322627932,0.49230769230769234,0.49230769230769234,99,0.08378282828282829,0.0,0.25449999999999984,0.06951794871794871
gptoss,A_E,3,HVAC,70,0.018257142857142868,0.28112139685379955,0.5142857142857142,0.5142857142857142,34,0.037588235294117665,0.0,0.11500000000000002,0.037216666666666676
gptoss,A_E,3,Appliance,65,0.0885846153846154,0.5784072720288064,0.3076923076923077,0.3076923076923077,45,0.1279555555555556,0.0,0.25449999999999984,0.0898051282051282
gptoss,A_E,3,Shower,60,0.020974999999999997,0.1613749638267718,0.6666666666666666,0.6666666666666666,20,0.06292499999999998,0.0,0.21899999999999992,0.08522499999999998
gptoss,A_E,4,Overall,195,0.04422820512820514,0.3535529946686748,0.4666666666666667,0.4666666666666667,104,0.08292788461538463,0.0,0.34450000000000003,0.06951794871794871
gptoss,A_E,4,HVAC,70,0.020942857142857166,0.3056047172019995,0.4857142857142857,0.4857142857142857,36,0.04072222222222225,0.0,0.138,0.037216666666666676
gptoss,A_E,4,Appliance,65,0.09430000000000002,0.5899828459889305,0.26153846153846155,0.26153846153846155,48,0.12769791666666666,0.0,0.34450000000000003,0.0898051282051282
gptoss,A_E,4,Shower,60,0.017149999999999995,0.15336031278285242,0.6666666666666666,0.6666666666666666,20,0.05144999999999998,0.0,0.14650000000000002,0.08522499999999998
gptoss,A_E,5,Overall,195,0.04128461538461539,0.3424108307075324,0.48717948717948717,0.48717948717948717,100,0.08050500000000001,0.0,0.25449999999999984,0.06951794871794871
gptoss,A_E,5,HVAC,70,0.023400000000000008,0.3021916299256913,0.4714285714285714,0.4714285714285714,37,0.04427027027027029,0.0,0.169,0.037216666666666676
gptoss,A_E,5,Appliance,65,0.08312307692307692,0.5429416771626052,0.3384615384615385,0.3384615384615385,43,0.12565116279069768,0.0,0.25449999999999984,0.0898051282051282
gptoss,A_E,5,Shower,60,0.016824999999999996,0.17209148129335156,0.6666666666666666,0.6666666666666666,20,0.05047499999999999,0.0,0.14949999999999997,0.08522499999999998
