model,arch,run,decision_type,n,mean_regret,mean_norm_regret,zero_regret_share,top1,n_miss,mean_regret_given_miss,zero_regret_share_given_miss,max_regret,random_pick_regret
deepseek,A_H,2,HVAC,69,0.0027608695652173937,0.03041116041810652,0.9130434782608695,0.9130434782608695,6,0.03175000000000003,0.0,0.1040000000000002,0.037480676328502424
deepseek,A_H,2,Appliance,65,0.00020769230769230703,0.001228948566226669,0.9846153846153847,0.9846153846153847,1,0.013499999999999956,0.0,0.013499999999999956,0.0898051282051282
deepseek,A_H,2,Shower,60,0.003824999999999995,0.06713283021056116,0.7833333333333333,0.7833333333333333,13,0.01765384615384613,0.0,0.04799999999999982,0.08522499999999998
deepseek,A_H,3,Overall,195,0.0023384615384615393,0.03862907305972286,0.9025641025641026,0.9025641025641026,19,0.024000000000000007,0.0,0.1040000000000002,0.06951794871794871
deepseek,A_H,3,HVAC,70,0.0031928571428571457,0.04426242955499071,0.9,0.9,7,0.03192857142857146,0.0,0.1040000000000002,0.037216666666666676
deepseek,A_H,3,Appliance,65,0.00020769230769230703,0.001228948566226669,0.9846153846153847,0.9846153846153847,1,0.013499999999999956,0.0,0.013499999999999956,0.0898051282051282
deepseek,A_H,3,Shower,60,0.0036499999999999996,0.07257362534986456,0.8166666666666667,0.8166666666666667,11,0.019909090909090908,0.0,0.04799999999999982,0.08522499999999998
deepseek,A_H,4,Overall,195,0.0021692307692307696,0.03019008822661262,0.9076923076923077,0.9076923076923077,18,0.023500000000000007,0.0,0.1040000000000002,0.06951794871794871
deepseek,A_H,4,HVAC,70,0.0022642857142857165,0.024501950513074532,0.9285714285714286,0.9285714285714286,5,0.03170000000000003,0.0,0.1040000000000002,0.037216666666666676
deepseek,A_H,4,Appliance,65,0.00020769230769230703,0.001228948566226669,0.9846153846153847,0.9846153846153847,1,0.013499999999999956,0.0,0.013499999999999956,0.0898051282051282
deepseek,A_H,4,Shower,60,0.004183333333333333,0.06820081685782518,0.8,0.8,12,0.020916666666666667,0.0,0.04799999999999982,0.08522499999999998
deepseek,A_H,5,Overall,195,0.002346153846153847,0.030411825500853893,0.9076923076923077,0.9076923076923077,18,0.025416666666666678,0.0,0.1040000000000002,0.06951794871794871
deepseek,A_H,5,HVAC,70,0.002764285714285717,0.026068555913545753,0.9285714285714286,0.9285714285714286,5,0.03870000000000003,0.0,0.1040000000000002,0.037216666666666676
