model,arch,run,decision_type,n,any_tie_share,top_tie_share,top_tie_input_order_share,all_three_identical_share,n_top_tie,gt_in_tied_top_share,gt_first_in_tie_share,shipped_hit_in_ties,top1_shipped,top1_random_tiebreak,top1_input_order_only,top1_ties_as_miss,shipped_top_pos1_share
gptoss,A_D,3,Overall,195,0.09743589743589744,0.05641025641025641,0.046153846153846156,0.0,11,0.5454545454545454,0.09090909090909091,0.18181818181818182,0.358974358974359,0.3641025641025641,0.35384615384615387,0.3487179487179487,0.3384615384615385
gptoss,A_D,3,HVAC,70,0.15714285714285714,0.11428571428571428,0.1,0.0,8,0.625,0.125,0.125,0.37142857142857144,0.39285714285714285,0.37142857142857144,0.35714285714285715,0.4142857142857143
gptoss,A_D,3,Appliance,65,0.015384615384615385,0.0,0.0,0.0,0,,,,0.3384615384615385,0.3384615384615385,0.3384615384615385,0.3384615384615385,0.2923076923076923
gptoss,A_D,3,Shower,60,0.11666666666666667,0.05,0.03333333333333333,0.0,3,0.3333333333333333,0.0,0.3333333333333333,0.36666666666666664,0.35833333333333334,0.35,0.35,0.3
gptoss,A_D,4,Overall,195,0.1282051282051282,0.07692307692307693,0.06666666666666667,0.0,15,0.9333333333333333,0.6,0.6666666666666666,0.358974358974359,0.3435897435897436,0.35384615384615387,0.3076923076923077,0.27692307692307694
gptoss,A_D,4,HVAC,70,0.22857142857142856,0.14285714285714285,0.11428571428571428,0.0,10,0.9,0.4,0.5,0.45714285714285713,0.45,0.44285714285714284,0.38571428571428573,0.2714285714285714
gptoss,A_D,4,Appliance,65,0.015384615384615385,0.0,0.0,0.0,0,,,,0.27692307692307694,0.27692307692307694,0.27692307692307694,0.27692307692307694,0.24615384615384617
gptoss,A_D,4,Shower,60,0.13333333333333333,0.08333333333333333,0.08333333333333333,0.0,5,1.0,1.0,1.0,0.3333333333333333,0.2916666666666667,0.3333333333333333,0.25,0.31666666666666665
gptoss,A_D,5,Overall,195,0.1282051282051282,0.08717948717948718,0.07692307692307693,0.005128205128205128,17,0.8235294117647058,0.23529411764705882,0.23529411764705882,0.31794871794871793,0.3324786324786325,0.31794871794871793,0.29743589743589743,0.3076923076923077
gptoss,A_D,5,HVAC,70,0.3,0.21428571428571427,0.18571428571428572,0.014285714285714285,15,0.8666666666666667,0.2,0.2,0.4,0.44761904761904764,0.4,0.35714285714285715,0.44285714285714284
gptoss,A_D,5,Appliance,65,0.0,0.0,0.0,0.0,0,,,,0.2,0.2,0.2,0.2,0.18461538461538463
gptoss,A_D,5,Shower,60,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.0,2,0.5,0.5,0.5,0.35,0.3416666666666667,0.35,0.3333333333333333,0.2833333333333333
gptoss,A_E,1,Overall,195,0.046153846153846156,0.020512820512820513,0.015384615384615385,0.0,4,0.75,0.5,0.25,0.441025641025641,0.44358974358974357,0.4461538461538462,0.4358974358974359,0.36923076923076925
gptoss,A_E,1,HVAC,70,0.07142857142857142,0.02857142857142857,0.02857142857142857,0.0,2,1.0,0.5,0.5,0.4142857142857143,0.4142857142857143,0.4142857142857143,0.4,0.24285714285714285
gptoss,A_E,1,Appliance,65,0.046153846153846156,0.03076923076923077,0.015384615384615385,0.0,2,0.5,0.5,0.0,0.3076923076923077,0.3153846153846154,0.3230769230769231,0.3076923076923077,0.2923076923076923
