model,architecture,run,decision_type,scenario_id,kendall_tau,overall_mae,top1_accuracy,top2_accuracy
gptoss,Direct_LLM_Scoring,1,Appliance,125,-1.0,0.3216666666666667,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,126,-0.33333333333333337,0.22333333333333336,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,127,-1.0,0.2891666666666667,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,128,1.0,0.3575,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,129,-0.33333333333333337,0.19416666666666668,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,130,-1.0,0.32666666666666666,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,131,0.33333333333333337,0.28250000000000003,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,132,0.33333333333333337,0.2325,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,133,-1.0,0.2725,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,134,0.33333333333333337,0.25333333333333335,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,135,-0.33333333333333337,0.2233333333333333,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,136,0.33333333333333337,0.1525,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,137,1.0,0.12666666666666668,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,138,0.33333333333333337,0.16333333333333336,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,139,-0.33333333333333337,0.17416666666666672,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Shower,140,-0.33333333333333337,0.14833333333333334,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,141,1.0,0.24666666666666667,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,142,-0.33333333333333337,0.12916666666666665,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,143,-1.0,0.20083333333333334,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Shower,144,-0.33333333333333337,0.21999999999999997,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Shower,145,1.0,0.34833333333333333,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,146,1.0,0.3466666666666666,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,147,-0.33333333333333337,0.3466666666666667,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Shower,148,0.33333333333333337,0.21166666666666667,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,149,0.33333333333333337,0.39916666666666667,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,150,0.33333333333333337,0.30416666666666664,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,151,1.0,0.3591666666666667,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,152,-0.33333333333333337,0.1958333333333334,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,153,1.0,0.31416666666666665,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,154,0.33333333333333337,0.2025,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,155,-0.33333333333333337,0.1825,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Shower,156,1.0,0.35416666666666674,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,157,-0.33333333333333337,0.17916666666666667,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,158,0.33333333333333337,0.3283333333333333,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,159,-0.33333333333333337,0.25583333333333336,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,160,0.33333333333333337,0.35083333333333333,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,161,0.33333333333333337,0.16833333333333336,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,162,0.33333333333333337,0.28,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,163,1.0,0.2091666666666667,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,164,-0.33333333333333337,0.26666666666666666,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Shower,165,0.33333333333333337,0.21083333333333334,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,166,-1.0,0.13500000000000004,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Shower,167,1.0,0.18250000000000002,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,168,-1.0,0.14333333333333334,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Shower,169,0.33333333333333337,0.18916666666666668,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,170,-0.33333333333333337,0.20333333333333334,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,171,-0.33333333333333337,0.23666666666666666,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Shower,172,-0.33333333333333337,0.30083333333333334,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Shower,173,0.33333333333333337,0.14333333333333337,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,174,1.0,0.18166666666666667,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,175,1.0,0.23750000000000002,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,176,-0.33333333333333337,0.25833333333333336,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Shower,177,1.0,0.17666666666666672,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,178,-0.33333333333333337,0.26999999999999996,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,179,0.33333333333333337,0.22250000000000003,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,180,-1.0,0.25166666666666665,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Shower,181,-1.0,0.3941666666666667,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Shower,182,0.33333333333333337,0.17500000000000002,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,183,1.0,0.32833333333333337,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,184,0.33333333333333337,0.14166666666666664,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,185,-0.33333333333333337,0.22,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Shower,186,1.0,0.2516666666666667,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,187,0.33333333333333337,0.24916666666666668,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,188,1.0,0.11666666666666665,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,189,-0.33333333333333337,0.1775,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,190,-1.0,0.1975,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Shower,191,-1.0,0.22416666666666665,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Shower,192,-0.33333333333333337,0.15916666666666668,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Shower,193,0.33333333333333337,0.10333333333333335,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Shower,194,-0.33333333333333337,0.15166666666666667,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Shower,195,-1.0,0.1516666666666667,0.0,0.0
gptoss,Direct_LLM_Scoring,2,HVAC,1,-1.0,0.18166666666666664,0.0,0.0
gptoss,Direct_LLM_Scoring,2,HVAC,2,1.0,0.2791666666666667,1.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,3,0.33333333333333337,0.085,1.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,4,0.33333333333333337,0.24250000000000002,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,5,1.0,0.17583333333333337,1.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,6,-0.33333333333333337,0.3858333333333334,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,7,0.33333333333333337,0.38500000000000006,1.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,8,-0.33333333333333337,0.08916666666666666,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,9,-1.0,0.2541666666666667,0.0,0.0
gptoss,Direct_LLM_Scoring,2,HVAC,10,0.33333333333333337,0.2758333333333334,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,11,1.0,0.25666666666666665,1.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,12,-0.33333333333333337,0.33499999999999996,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,13,0.33333333333333337,0.31916666666666665,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,14,1.0,0.20166666666666666,1.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,15,-0.33333333333333337,0.30750000000000005,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,16,1.0,0.32083333333333336,1.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,17,0.33333333333333337,0.17833333333333334,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,18,-0.33333333333333337,0.3325,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,19,0.33333333333333337,0.07749999999999999,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,20,-0.33333333333333337,0.15333333333333335,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,21,1.0,0.2566666666666667,1.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,22,-0.33333333333333337,0.09916666666666667,0.0,0.0
gptoss,Direct_LLM_Scoring,2,HVAC,23,0.33333333333333337,0.1416666666666667,1.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,24,-0.33333333333333337,0.19499999999999998,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,25,0.33333333333333337,0.18000000000000002,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,26,0.33333333333333337,0.1666666666666667,1.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,27,0.33333333333333337,0.12583333333333332,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,28,1.0,0.1958333333333333,1.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,29,0.33333333333333337,0.1775,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,30,-0.33333333333333337,0.11833333333333333,0.0,0.0
gptoss,Direct_LLM_Scoring,2,HVAC,31,-0.33333333333333337,0.14500000000000002,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,32,0.33333333333333337,0.20916666666666664,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,33,0.33333333333333337,0.14416666666666667,1.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,34,1.0,0.057499999999999996,1.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,35,-1.0,0.24749999999999997,0.0,0.0
gptoss,Direct_LLM_Scoring,2,HVAC,36,1.0,0.09416666666666668,1.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,37,0.33333333333333337,0.12416666666666663,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,38,0.33333333333333337,0.26333333333333336,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,39,0.33333333333333337,0.23,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,40,-1.0,0.24333333333333332,0.0,0.0
gptoss,Direct_LLM_Scoring,2,HVAC,41,0.33333333333333337,0.135,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,42,1.0,0.27,1.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,43,0.33333333333333337,0.17999999999999997,1.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,44,-1.0,0.22916666666666666,0.0,0.0
gptoss,Direct_LLM_Scoring,2,HVAC,45,-1.0,0.10583333333333333,0.0,0.0
gptoss,Direct_LLM_Scoring,2,HVAC,46,-0.33333333333333337,0.20833333333333334,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,47,0.33333333333333337,0.20333333333333334,1.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,48,-0.33333333333333337,0.21,0.0,0.0
gptoss,Direct_LLM_Scoring,2,HVAC,49,-0.33333333333333337,0.24083333333333337,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,50,1.0,0.13166666666666668,1.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,51,-0.33333333333333337,0.16749999999999998,0.0,0.0
gptoss,Direct_LLM_Scoring,2,HVAC,52,0.33333333333333337,0.15083333333333335,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,53,-0.33333333333333337,0.24666666666666673,0.0,0.0
gptoss,Direct_LLM_Scoring,2,HVAC,54,-1.0,0.2733333333333334,0.0,0.0
gptoss,Direct_LLM_Scoring,2,HVAC,55,-0.33333333333333337,0.1708333333333333,0.0,0.0
gptoss,Direct_LLM_Scoring,2,HVAC,56,-0.33333333333333337,0.17333333333333337,0.0,0.0
gptoss,Direct_LLM_Scoring,2,HVAC,57,0.33333333333333337,0.1391666666666667,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,58,-0.33333333333333337,0.22416666666666665,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,59,-1.0,0.19833333333333333,0.0,0.0
gptoss,Direct_LLM_Scoring,2,HVAC,60,-0.33333333333333337,0.2991666666666667,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,61,0.33333333333333337,0.2508333333333334,1.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,62,1.0,0.09999999999999998,1.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,63,-0.33333333333333337,0.43166666666666664,0.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,64,-1.0,0.2541666666666667,0.0,0.0
gptoss,Direct_LLM_Scoring,2,HVAC,65,-1.0,0.2816666666666667,0.0,0.0
gptoss,Direct_LLM_Scoring,2,HVAC,66,-0.33333333333333337,0.21916666666666665,0.0,0.0
gptoss,Direct_LLM_Scoring,2,HVAC,67,1.0,0.35000000000000003,1.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,68,1.0,0.1691666666666667,1.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,69,0.33333333333333337,0.07833333333333334,1.0,1.0
gptoss,Direct_LLM_Scoring,2,HVAC,70,-0.33333333333333337,0.2158333333333334,0.0,0.0
gptoss,Direct_LLM_Scoring,2,Appliance,71,-0.33333333333333337,0.27166666666666667,0.0,1.0
gptoss,Direct_LLM_Scoring,2,Appliance,72,0.33333333333333337,0.2775,0.0,1.0
gptoss,Direct_LLM_Scoring,2,Appliance,73,1.0,0.17166666666666672,1.0,1.0
